depth,latitude,longitude,time,siage,sisnthick,sithick,so,thetao,atmospheric_temperature
0.0,83.25,81.36000000004083,2022-10-30,525.67126,0.18898419,0.905931,33.031788,-1.784091,-14.577083
0.0,83.25,81.44000000004087,2022-10-29,529.52905,0.18887782,0.908824,33.021988,-1.7837358,-16.016668
0.0,83.25,81.6000000000409,2022-10-28,529.3163,0.1886266,0.91003627,33.013283,-1.7832295,-12.391667
0.0,83.3125,81.84000000004096,2022-10-27,527.1699,0.18784784,0.9096066,33.0457,-1.7847158,-11.695834
0.0,83.3125,82.16000000004101,2022-10-26,527.97766,0.18762049,0.91127,33.037525,-1.7842945,-12.2229185
0.0,83.375,82.64000000004103,2022-10-25,526.99817,0.18735637,0.90940905,33.07745,-1.7868905,-14.331248
0.0,83.375,83.20000000004114,2022-10-24,529.2933,0.18735908,0.9126709,33.071552,-1.786683,-12.418751
0.0,83.375,83.84000000004124,2022-10-23,531.0822,0.1872224,0.80459917,32.957726,-1.7802057,-11.212499
0.0,83.375,84.40000000004136,2022-10-22,533.79376,0.1869613,0.80311185,32.950027,-1.7800312,-11.689583
0.0,83.375,84.88000000004138,2022-10-21,535.91595,0.1859044,0.79918873,32.943005,-1.7789536,-8.620833
0.0,83.375,85.36000000004151,2022-10-20,539.4521,0.18454096,0.79616046,32.932594,-1.778279,-9.225
0.0,83.5,85.68000000004156,2022-10-19,541.5705,0.18143515,0.7744162,32.904842,-1.7770782,-8.364583
0.0,83.625,85.68000000004156,2022-10-18,546.4483,0.17690918,0.7544591,32.86569,-1.7752581,-9.45
0.0,83.8125,85.68000000004156,2022-10-17,544.30176,0.17172813,0.7327401,32.831425,-1.7732884,-7.4020824
0.0,83.875,86.40000000004164,2022-10-16,546.09064,0.17164631,0.7464468,32.839264,-1.7737046,-7.841667
0.0,83.8125,87.28000000004181,2022-10-15,547.75995,0.17511159,0.7842414,32.82023,-1.7723448,-6.1895843
0.0,83.6875,87.84000000004187,2022-10-14,552.83124,0.17188641,0.80704325,32.8034,-1.7705423,-4.0270834
0.0,83.6875,88.08000000004188,2022-10-13,551.5698,0.16350068,0.78533053,32.787117,-1.7708436,-11.743749
0.0,83.75,88.640000000042,2022-10-12,545.05597,0.16164191,0.7633822,32.78248,-1.7706195,-12.733334
0.0,83.75,89.36000000004208,2022-10-11,541.53784,0.16174567,0.77012384,32.776585,-1.7701925,-9.51875
0.0,83.75,89.84000000004221,2022-10-10,548.12646,0.16076778,0.77737993,32.774006,-1.7705675,-9.166667
0.0,83.75,89.76000000004217,2022-10-09,562.07715,0.15461102,0.7787233,32.775555,-1.7701876,-7.285416
0.0,83.8125,89.84000000004221,2022-10-08,563.6881,0.14814542,0.7553241,32.783096,-1.7708457,-8.787499
0.0,83.9375,89.36000000004208,2022-10-07,570.11017,0.14606191,0.7347842,32.779724,-1.7711276,-8.314583
0.0,84.0,88.40000000004193,2022-10-06,596.39764,0.14595234,0.7351307,32.768143,-1.7692033,-8.34375
0.0,84.0625,88.0000000000419,2022-10-05,611.99725,0.14392428,0.74846435,32.75681,-1.7684114,-5.147917
0.0,84.125,88.0000000000419,2022-10-04,595.64777,0.13966607,0.7494646,32.74374,-1.7694587,-10.064582
0.0,84.1875,87.52000000004182,2022-10-03,610.4306,0.13724619,0.7379946,32.73062,-1.7685478,-8.685417
0.0,84.3125,86.96000000004176,2022-10-02,631.4185,0.124784574,0.70530236,32.695087,-1.7662548,-9.008334
0.0,84.375,86.16000000004158,2022-10-01,643.74915,0.121588424,0.71186656,32.640213,-1.7639495,-8.960416
0.0,84.4375,85.20000000004143,2022-09-30,665.9303,0.121310316,0.72365195,32.556664,-1.7592734,-9.010416
0.0,84.5625,84.40000000004136,2022-09-29,685.1586,0.12046241,0.7211944,32.415497,-1.7506747,-5.2624993
0.0,84.625,82.80000000004111,2022-09-28,700.5995,0.11964812,0.71432394,32.357826,-1.7476819,-9.002082
0.0,84.5625,80.88000000004081,2022-09-27,733.9508,0.12428341,0.75284576,32.43934,-1.7488945,-3.0749998
0.0,84.375,79.92000000004066,2022-09-26,745.0874,0.117584705,0.8299092,32.631897,-1.7608204,-0.6458334
